Indicator,Year,Geography,FIPS,Age Group,Race/Ethnicity,Sex,Transmission Category,Cases,Rate per 100000,Population
AIDS deaths,2016,District of Columbia,11,Ages 13 years and older,All races/ethnicities,Both sexes,All transmission categories,195,33,590875.00
AIDS deaths,2017,District of Columbia,11,Ages 13 years and older,All races/ethnicities,Both sexes,All transmission categories,159,26.6,596785.00
AIDS deaths,2011,Florida,12,Ages 13 years and older,All races/ethnicities,Both sexes,All transmission categories,"1,722",10.6,16258521.00
AIDS deaths,2012,Florida,12,Ages 13 years and older,All races/ethnicities,Both sexes,All transmission categories,"1,666",10.1,16480031.00
AIDS deaths,2013,Florida,12,Ages 13 years and older,All races/ethnicities,Both sexes,All transmission categories,"1,675",10,16709125.00
AIDS deaths,2014,Florida,12,Ages 13 years and older,All races/ethnicities,Both sexes,All transmission categories,"1,653",9.7,16983458.00
AIDS deaths,2015,Florida,12,Ages 13 years and older,All races/ethnicities,Both sexes,All transmission categories,"1,729",10,17305349.00
AIDS deaths,2016,Florida,12,Ages 13 years and older,All races/ethnicities,Both sexes,All transmission categories,"1,765",10,17658611.00
AIDS deaths,2017,Florida,12,Ages 13 years and older,All races/ethnicities,Both sexes,All transmission categories,"1,679",9.3,17971716.00
AIDS deaths,2011,Georgia,13,Ages 13 years and older,All races/ethnicities,Both sexes,All transmission categories,665,8.3,8003157.00
AIDS deaths,2012,Georgia,13,Ages 13 years and older,All races/ethnicities,Both sexes,All transmission categories,667,8.2,8106476.00
AIDS deaths,2013,Georgia,13,Ages 13 years and older,All races/ethnicities,Both sexes,All transmission categories,650,7.9,8187895.00
AIDS deaths,2014,Georgia,13,Ages 13 years and older,All races/ethnicities,Both sexes,All transmission categories,735,8.9,8288270.00
AIDS deaths,2015,Georgia,13,Ages 13 years and older,All races/ethnicities,Both sexes,All transmission categories,648,7.7,8397538.00
AIDS deaths,2016,Georgia,13,Ages 13 years and older,All races/ethnicities,Both sexes,All transmission categories,644,7.6,8516944.00
AIDS deaths,2017,Georgia,13,Ages 13 years and older,All races/ethnicities,Both sexes,All transmission categories,620,7.2,8627633.00
AIDS deaths,2011,Hawaii,15,Ages 13 years and older,All races/ethnicities,Both sexes,All transmission categories,32,2.8,1155908.00
AIDS deaths,2012,Hawaii,15,Ages 13 years and older,All races/ethnicities,Both sexes,All transmission categories,45,3.8,1168924.00
AIDS deaths,2013,Hawaii,15,Ages 13 years and older,All races/ethnicities,Both sexes,All transmission categories,29,2.5,1180667.00
AIDS deaths,2014,Hawaii,15,Ages 13 years and older,All races/ethnicities,Both sexes,All transmission categories,36,3,1187196.00
AIDS deaths,2015,Hawaii,15,Ages 13 years and older,All races/ethnicities,Both sexes,All transmission categories,27,2.3,1193935.00
AIDS deaths,2016,Hawaii,15,Ages 13 years and older,All races/ethnicities,Both sexes,All transmission categories,30,2.5,1200302.00
AIDS deaths,2017,Hawaii,15,Ages 13 years and older,All races/ethnicities,Both sexes,All transmission categories,30,2.5,1198339.00
AIDS deaths,2011,Idaho,16,Ages 13 years and older,All races/ethnicities,Both sexes,All transmission categories,12,0.9,1270672.00
AIDS deaths,2012,Idaho,16,Ages 13 years and older,All races/ethnicities,Both sexes,All transmission categories,17,1.3,1283965.00
AIDS deaths,2013,Idaho,16,Ages 13 years and older,All races/ethnicities,Both sexes,All transmission categories,11,0.8,1301066.00
AIDS deaths,2014,Idaho,16,Ages 13 years and older,All races/ethnicities,Both sexes,All transmission categories,16,1.2,1320877.00
AIDS deaths,2015,Idaho,16,Ages 13 years and older,All races/ethnicities,Both sexes,All transmission categories,7,0.5,1339988.00
AIDS deaths,2016,Idaho,16,Ages 13 years and older,All races/ethnicities,Both sexes,All transmission categories,8,0.6,1369107.00
AIDS deaths,2017,Idaho,16,Ages 13 years and older,All races/ethnicities,Both sexes,All transmission categories,15,1.1,1402234.00
AIDS deaths,2011,Illinois,17,Ages 13 years and older,All races/ethnicities,Both sexes,All transmission categories,458,4.3,10668059.00
AIDS deaths,2012,Illinois,17,Ages 13 years and older,All races/ethnicities,Both sexes,All transmission categories,430,4,10704446.00
AIDS deaths,2013,Illinois,17,Ages 13 years and older,All races/ethnicities,Both sexes,All transmission categories,401,3.7,10744121.00
AIDS deaths,2014,Illinois,17,Ages 13 years and older,All races/ethnicities,Both sexes,All transmission categories,426,4,10759859.00
AIDS deaths,2015,Illinois,17,Ages 13 years and older,All races/ethnicities,Both sexes,All transmission categories,450,4.2,10756428.00
AIDS deaths,2016,Illinois,17,Ages 13 years and older,All races/ethnicities,Both sexes,All transmission categories,409,3.8,10743318.00
AIDS deaths,2017,Illinois,17,Ages 13 years and older,All races/ethnicities,Both sexes,All transmission categories,373,3.5,10731215.00
AIDS deaths,2011,Indiana,18,Ages 13 years and older,All races/ethnicities,Both sexes,All transmission categories,169,3.1,5371451.00
AIDS deaths,2012,Indiana,18,Ages 13 years and older,All races/ethnicities,Both sexes,All transmission categories,145,2.7,5399958.00
AIDS deaths,2013,Indiana,18,Ages 13 years and older,All races/ethnicities,Both sexes,All transmission categories,152,2.8,5436314.00
AIDS deaths,2014,Indiana,18,Ages 13 years and older,All races/ethnicities,Both sexes,All transmission categories,142,2.6,5466488.00
AIDS deaths,2015,Indiana,18,Ages 13 years and older,All races/ethnicities,Both sexes,All transmission categories,137,2.5,5483619.00
AIDS deaths,2016,Indiana,18,Ages 13 years and older,All races/ethnicities,Both sexes,All transmission categories,158,2.9,5510511.00
AIDS deaths,2017,Indiana,18,Ages 13 years and older,All races/ethnicities,Both sexes,All transmission categories,148,2.7,5540003.00
AIDS deaths,2011,Iowa,19,Ages 13 years and older,All races/ethnicities,Both sexes,All transmission categories,29,1.1,2543043.00
